JobNum,PartNum, Price 
SCI466822,"0010-62720, Rev 03",3808.74
SCI466823,"0010-62720, Rev 03",3808.74
ASM465211,"0041-56149, Rev 03",3796.36
SCI466814,"0010-59217, Rev 04",3764.49
SCI466815,"0010-59217, Rev 04",3764.49
SCI466842,"0010-66750, Rev 02",3755.07
SCI466843,"0010-66750, Rev 02",3755.07
CP465398,"0041-97238, Rev 02",888.62
CP468373,"0041-97238, Rev 02",888.62
ASM459334,"0041-14343, Rev 03",3535.38
ASM460041,"0041-14343, Rev 03",3535.38
ASM459955,"0041-14343, Rev 03",3535.38
MT-ASM466119,"0041-14343, Rev 03",707.08
MT-ASM466120,"0041-14343, Rev 03",707.08
MT-ASM466121,"0041-14343, Rev 03",707.08
MT-ASM466122,"0041-14343, Rev 03",707.08
ASM459690,"0041-38265, Rev 03",3511.27
ASM461830,"0041-25653, Rev 06",1754.09
467924,"0041-25653, Rev 06",292.35
ASM464373,"0041-25653, Rev 06",1670.56
ASM465780,"0041-25653, Rev 06",1461.74
MT-E467829,"0041-25653, Rev 06",1169.39
ASM465781,"0041-25653, Rev 06",730.87
ASM465782,"0041-25653, Rev 06",701.63
SCI466805,"0010-59204, Rev 03",3505.80
SCI466806,"0010-59204, Rev 03",3505.80
467130,"0022-62007, Rev 04",57.10
468187,"0022-62007, Rev 04",285.48
467619,"713-125072-021,Rev A",185.77
E417553,"0041-55140, Rev 11",3336.80
ASM463449,"0041-55140, Rev 11",1853.78
ASM467687,"0041-55140, Rev 11",1042.75
ASM467688,"0041-55140, Rev 11",1042.75
ASM467078,"0041-55140, Rev 11",4171.00
MT-ASM462530,"0041-55140, Rev 11",556.13
MT-ASM462846,"0041-55140, Rev 11",222.45
MT-ASM464678,"0041-55140, Rev 11",222.45
ASM466378,"0042-09391, Rev 08",3335.18
ASM463375,"0042-09391, Rev 08",1111.73
ASM467801,"0042-09391, Rev 08",1111.73
ASM462593,"0042-09391, Rev 08",1334.07
ASM467802,"0042-09391, Rev 08",1111.73
ASM467803,"0042-09391, Rev 08",1111.73
ASM467804,"0042-09391, Rev 08",1111.73
ASM467096,"0042-09391, Rev 08",1667.59
SCI465459,"0010-62721, Rev 03",3334.89
SCI466828,"0010-62721, Rev 03",3334.89
467760,"0010-35892, Rev 02",159.33
468392,"0010-35892, Rev 02",4302.00
ASM463534,"0010-35892, Rev 02",1654.65
ASM464725,"0010-35892, Rev 02",1654.65
ASM465687,"0010-35892, Rev 02",827.33
ASM468097,"0010-35892, Rev 02",2206.20
ASM468364,"0010-35892, Rev 02",1654.65
468538,"0042-28515, Rev 07",157.20
466891,"713-183503-102,Rev A",3678.00
468008,"713-183503-102,Rev A",367.80
SCI466838,"0010-66749, Rev 02",3273.63
SCI466839,"0010-66749, Rev 02",3273.63
465937,"515-269973-400,Rev C",3735.00
465952,"515-269973-400,Rev C",622.50
SCI465466,"0010-66751, Rev 02",3115.94
SCI466846,"0010-66751, Rev 02",3115.94
ASM463374,"0042-17029, Rev 06",1034.51
ASM467805,"0042-17029, Rev 06",1551.76
ASM467806,"0042-17029, Rev 06",1551.76
ASM462840,"0042-17029, Rev 06",1551.76
ASM467807,"0042-17029, Rev 06",1551.76
ASM467808,"0042-17029, Rev 06",1551.76
ASM467809,"0042-17029, Rev 06",1551.76
ASM467810,"0042-17029, Rev 06",1551.76
ASM467097,"0042-17029, Rev 06",1551.76
ASM467811,"0042-17029, Rev 06",1551.76
464172,"0270-09544, Rev 02",742.50
465741,"0270-09544, Rev 02",1485.00
466354,"0270-09544, Rev 02",1485.00
467822,"0270-09544, Rev 02",742.50
462427,"0270-09544, Rev 02",1485.00
ASM454848,"0010-36300, Rev 02",638.44
463682,"0010-36300, Rev 02",630.00
ASM462153,"0010-36300, Rev 02",638.44
ASM464359,"0010-36300, Rev 02",638.44
ASM465700,"0010-36300, Rev 02",638.44
ASM465864,"0010-36300, Rev 02",638.44
ASM465865,"0010-36300, Rev 02",638.44
ASM465866,"0010-36300, Rev 02",638.44
467945,"839-114167-010-A06,Rev E",508.97
ASM461473,"0010-42296, Rev 01",301.12
ASM462916,"0010-42296, Rev 01",301.12
ASM463296,"0010-42296, Rev 01",301.12
ASM463551,"0010-42296, Rev 01",301.12
ASM464818,"0010-42296, Rev 01",301.12
ASM467374,"0010-42296, Rev 01",301.12
ASM466170,"0010-42296, Rev 01",301.12
ASM467375,"0010-42296, Rev 01",301.12
ASM468034,"0010-42296, Rev 01",1505.58
SCI463313,"0010-50933, Rev 01",499.73
SCI463314,"0010-50933, Rev 01",499.73
465861,"0010-85686, Rev 02",999.31
457932,"0010-32791, Rev 03",497.29
463943,"0010-32791, Rev 03",165.76
465860,"0010-85687, Rev 02",982.52
454334,"0042-03231, Rev 02",3216.00
465127,"0042-28607, Rev 03",283.00
467545,"0042-28607, Rev 03",325.39
467826,"0042-28607, Rev 03",471.67
SCI462827,"0041-79193, Rev 02",970.13
SCI462826,"0041-79193, Rev 02",970.13
SCI467189,"0041-79193, Rev 02",970.13
RMA11981,"0041-77748, Rev 03",476.62
RMA11982,"0041-77748, Rev 03",476.62
E463204,"0041-77748, Rev 03",953.23
SCI464266,"0041-77748, Rev 03",408.53
SCI463839,"0041-77748, Rev 03",477.84
SCI465725,"0041-77748, Rev 03",408.53
SCI457033,"0041-77748, Rev 03",408.53
E467620,"0041-77748, Rev 03",953.23
SCI465724,"0041-77748, Rev 03",682.63
RMA11988,"0041-77748, Rev 03",953.23
SCI464924,"0041-77748, Rev 03",408.53
CP467935,"0041-77748, Rev 03",408.53
SCI465727,"0041-77748, Rev 03",682.63
SCI465726,"0041-77748, Rev 03",682.63
CP467283,"0041-77748, Rev 03",682.63
SCI465728,"0041-77748, Rev 03",408.53
SCI465022,"0041-77748, Rev 03",408.53
SCI465023,"0041-77748, Rev 03",408.53
SCI465732,"0041-77748, Rev 03",408.53
SCI465729,"0041-77748, Rev 03",408.53
SCI465027,"0041-77748, Rev 03",408.53
SCI465730,"0041-77748, Rev 03",408.53
SCI465024,"0041-77748, Rev 03",408.53
SCI465026,"0041-77748, Rev 03",408.53
SCI465731,"0041-77748, Rev 03",408.53
ASM459295,"0010-48839, Rev 02",568.82
ASM459296,"0010-48839, Rev 02",711.03
ASM465964,"0010-48839, Rev 02",517.11
ASM465965,"0010-48839, Rev 02",284.41
ASM463287,"0010-48839, Rev 02",284.41
ASM463560,"0010-48839, Rev 02",284.41
ASM464692,"0010-48839, Rev 02",284.41
ASM464815,"0010-48839, Rev 02",284.41
ASM467372,"0010-48839, Rev 02",284.41
ASM467373,"0010-48839, Rev 02",284.41
ASM464724,"0010-48839, Rev 02",284.41
468130,"515-289138-002,Rev A",2220.95
MT-ASM463688,"0022-13659, Rev 03",1390.95
MT-ASM465839,"0022-13659, Rev 03",556.38
MT-ASM464662,"0022-13659, Rev 03",1390.95
MT-ASM467615,"0022-13659, Rev 03",1390.95
ASM465336,"0010-63410, Rev 02",2779.77
457360,"0270-10058, Rev 03",227.78
ASM465213,"0021-94936, Rev 04",2729.45
ASM465337,"0010-63411, Rev 02",2728.38
ASM465343,"0041-89580, Rev 02",1345.23
467573,"515-224153-007,Rev A",713.50
468302,"515-224153-007,Rev A",756.00
SCI466061,"0042-01249, Rev 05",132.38
SCI464259,"0042-01249, Rev 05",264.75
SCI464260,"0042-01249, Rev 05",264.75
SCI466062,"0042-01249, Rev 05",132.38
ASM463443,"0041-95238, Rev 03",880.79
ASM467703,"0041-95238, Rev 03",1321.19
ASM467704,"0041-95238, Rev 03",1321.19
ASM467705,"0041-95238, Rev 03",1321.19
ASM467084,"0041-95238, Rev 03",2642.38
466789,"713-065332-061,Rev C",437.95
466904,"K17257056-01, Rev 2",869.36
ASM454657,"0010-36299, Rev 03",1299.66
ASM463488,"0010-36299, Rev 03",649.83
ASM464354,"0010-36299, Rev 03",649.83
ASM465698,"0010-36299, Rev 03",649.83
ASM465810,"0010-36299, Rev 03",259.93
ASM465811,"0010-36299, Rev 03",259.93
ASM459319,"0010-36299, Rev 03",1299.66
ASM463383,"0022-05152, Rev 05",866.23
ASM462591,"0022-05152, Rev 05",649.67
ASM467791,"0022-05152, Rev 05",51.97
MT-465395,"0042-35005, Rev 02",865.58
MT-RW467624,"0042-35005, Rev 02",173.12
466737,"0042-08209, Rev 04",567.00
MT-ASM465417,"0042-35562, Rev 01",1293.85
MT-ASM468156,"0042-35731, Rev 02",2587.70
MT-ASM464433,"0042-35702, Rev 01",172.28
MT-ASM467012,"0042-35702, Rev 01",1292.10
SCI466817,"0041-77694, Rev 03",1284.28
SCI465715,"0041-75310, Rev 02",2131.55
SCI468213,"0041-75310, Rev 02",2131.55
SCI467524,"0041-77458, Rev 05",2539.17
SCI465460,"0041-77466, Rev 05",1233.89
P461443,"0022-37297, Rev 04",205.62
SCI466821,"0041-77421, Rev 04",983.19
SCI467122,"0010-59818, Rev 06",2450.97
SCI467123,"0010-59818, Rev 06",2450.97
ASM462253,"0195-07355, Rev 01",244.99
ASM463030,"0195-07355, Rev 01",1224.95
ASM459132,"0195-07355, Rev 01",816.63
ASM465976,"0195-07355, Rev 01",244.99
ASM463140,"0195-07355, Rev 01",408.32
ASM465977,"0195-07355, Rev 01",489.98
ASM463704,"0195-07355, Rev 01",349.98
ASM463709,"0195-07355, Rev 01",188.45
ASM463705,"0195-07355, Rev 01",174.99
ASM463706,"0195-07355, Rev 01",188.45
ASM463707,"0195-07355, Rev 01",174.99
ASM467382,"0195-07355, Rev 01",816.63
465399,"853-088754-001,Rev A",492.15
461561,"0041-62454, Rev 02",2399.59
ASM464948,"0042-14616, Rev 03",2386.34
